"B","E","F","G","H","I","J","K","L","M","N","O","P","DD","MM","OO","PP","QQ","RR","SS","TT","UU","VV","YY","AAA","BBB","CCC","DDD","EEE","FFF","HHH","LLL"
"26-100","Yes","I am not sure","No","No","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","No, I don't think it would","No, I don't think they would","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","I am not sure","No","No","I don't know","Very easy","Maybe","No","Yes","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","Yes, I observed","No","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","No","No","I don't know","I don't know","I don't know","Maybe","No","Maybe","Maybe","No","No","No","No","Maybe","Yes, I think they would","Neutral","No","No Entry","No","No","Maybe","No","False","Not applicable to me","Often","36-45","M","United States of America","United States of America","Always"
"100-500","I don't know","No","No","No","I don't know","Somewhat difficult","Maybe","No","Maybe","No","No","No","Not Applicable","No","Yes, I think it would","Maybe","Neutral","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me",">25","M","Germany","Germany","Never"
"1-5","Yes","I am not sure","No","I don't know","No","Neither easy nor difficult","No","No","Maybe","Yes","I don't know","No","Sometimes","No","Yes, it has","Maybe","Somewhat open","Yes, I observed","Maybe","I don't know","Maybe","No","No","True","Sometimes","Sometimes","45<","M","United States of America","United States of America","Never"
"More than 1000","Not eligible for coverage / N/A","I am not sure","No","No","I don't know","Somewhat difficult","No","No","Yes","Yes","I don't know","No","I don't know","No","Maybe","No, I don't think they would","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","No","No","Yes","Yes","I don't know","Yes","Maybe","No","No","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat not open","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Always"
"26-100","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","I don't know","No","Maybe","Maybe","Very open","Maybe/Not sure","No","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","No","I don't know","Somewhat difficult","Yes","No","No","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","M","United States of America","United States of America","Never"
"100-500","Yes","I am not sure","No","No","I don't know","I don't know","Yes","Maybe","No","Maybe","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","Yes","Yes","Maybe","No","True","Sometimes","Often","25-35","M","United States of America","United States of America","Always"
"500-1000","Yes","No","No","I don't know","I don't know","Somewhat easy","Maybe","Maybe","Yes","Yes","I don't know","No","I don't know","No","Yes, I think it would","Maybe","Very open","Yes, I observed","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Always"
"100-500","No","No","No","No","I don't know","Somewhat difficult","Yes","No","Maybe","Maybe","No","No","Sometimes","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Maybe/Not sure","Maybe","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Sometimes"
"100-500","I don't know","I am not sure","No","I don't know","I don't know","Somewhat easy","No","No","Maybe","Maybe","No","No","I don't know","No","No, it has not","No, they do not","Somewhat open","No","No Entry","Yes","Maybe","Maybe","No","False","Not applicable to me","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Yes","Yes","Yes","No","Yes, always","Yes","Maybe","No, I don't think they would","Very open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","United States of America","United States of America","Always"
"100-500","Yes","I am not sure","Yes","Yes","Yes","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Maybe","No, I don't think they would","Somewhat not open","Maybe/Not sure","No Entry","No","Yes","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Always"
"6-25","Not eligible for coverage / N/A","No Entry","No","No","I don't know","I don't know","Maybe","No","Yes","Maybe","I don't know","No","I don't know","Maybe","Maybe","Maybe","Somewhat open","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","United Kingdom","United Kingdom","Sometimes"
"100-500","Yes","No","Yes","Yes","I don't know","I don't know","Maybe","Yes","Yes","Maybe","Yes","No","Sometimes","Yes","Maybe","Maybe","Very open","Yes, I observed","Maybe","Yes","Yes","Yes","Yes","True","Sometimes","Often","36-45","F","United States of America","United States of America","Sometimes"
"6-25","Yes","I am not sure","No","No","Yes","Somewhat easy","Maybe","Maybe","Maybe","Maybe","Yes","No","I don't know","No","No, it has not","Maybe","Very open","No","No Entry","No","Yes","No","Yes","True","Rarely","Rarely","25-35","M","United States of America","United States of America","Sometimes"
"26-100","I don't know","No","No","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","I don't know","Maybe","Maybe","No, I don't think they would","Somewhat open","Yes, I experienced","No Entry","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","F","United States of America","United States of America","Always"
"500-1000","Yes","Yes","I don't know","I don't know","Yes","Somewhat easy","Maybe","Maybe","Maybe","Yes","Yes","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Not applicable to me (I do not have a mental illness)","Yes, I observed","Yes","No","Maybe","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Sometimes"
"6-25","I don't know","I am not sure","No","No","Yes","Neither easy nor difficult","No","No","Maybe","Yes","Yes","No","I don't know","Yes","Maybe","No, I don't think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","36-45","M","Canada","Canada","Sometimes"
"26-100","Yes","I am not sure","No","I don't know","I don't know","I don't know","Maybe","No","Maybe","Maybe","I don't know","No","I don't know","No","Maybe","Maybe","Not applicable to me (I do not have a mental illness)","No","No Entry","Yes","No","No","No","False","Not applicable to me","Not applicable to me","25-35","M","Canada","Canada","Always"
"500-1000","I don't know","No","Yes","No","I don't know","Very easy","Maybe","No","No","No","Yes","No","Not Applicable","No","Maybe","No, they do not","Somewhat not open","No","No Entry","No","Maybe","No","No","False","Never","Rarely",">25","F","Russia","Russia","Sometimes"
"26-100","Yes","Yes","No","Yes","Yes","Neither easy nor difficult","Yes","Maybe","Maybe","Maybe","No","No","Yes, always","No","Yes, it has","Yes, they do","Somewhat open","Yes, I experienced","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","Yes","Yes","Yes","I don't know","Maybe","Maybe","Maybe","Maybe","I don't know","No","I don't know","No","No, I don't think it would","Maybe","Somewhat open","Yes, I experienced","Maybe","Yes","Maybe","Maybe","No","True","Not applicable to me","Sometimes",">25","F","Australia","Australia","Never"
"26-100","No","No","No","No","No","Somewhat easy","Yes","Maybe","Yes","Maybe","No","Yes","Sometimes","Yes","Yes, it has","Maybe","Very open","Yes, I experienced","Maybe","Yes","Yes","Yes","Yes","True","Rarely","Often","36-45","M","Netherlands","Netherlands","Never"
"More than 1000","Yes","Yes","Yes","Yes","I don't know","Somewhat easy","No","No","Maybe","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Very open","Maybe/Not sure","No","Yes","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","I am not sure","Yes","Yes","Yes","Very easy","No","No","Maybe","Yes","I don't know","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","Yes","Yes","Yes","No","True","Rarely","Sometimes","25-35","F","United States of America","United States of America","Sometimes"
"26-100","Yes","Yes","Yes","Yes","Yes","Very easy","No","No","Maybe","Maybe","Yes","No","No","No","Maybe","Maybe","Somewhat open","Yes, I observed","No","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Sometimes"
"1-5","Not eligible for coverage / N/A","No Entry","No","No","I don't know","Somewhat difficult","Yes","Maybe","No","No","I don't know","No","I don't know","No","Maybe","Maybe","Somewhat open","Maybe/Not sure","No Entry","I don't know","Yes","Yes","Yes","True","Sometimes","Often",">25","F","Australia","Australia","Sometimes"
"500-1000","I don't know","I am not sure","No","I don't know","I don't know","Somewhat easy","Maybe","No","Maybe","No","No","No","I don't know","No","Maybe","Yes, I think they would","Somewhat open","Maybe/Not sure","No Entry","Yes","Yes","Maybe","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Always"
"More than 1000","I don't know","I am not sure","No","I don't know","I don't know","Somewhat difficult","Yes","Yes","Maybe","No","No","No","I don't know","No","Yes, I think it would","Yes, I think they would","Somewhat open","Maybe/Not sure","Yes","Yes","Yes","Yes","Yes","True","Rarely","Often",">25","F","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","No","I don't know","I don't know","Very easy","No","No","Yes","Yes","I don't know","No","I don't know","No","No, it has not","Maybe","Somewhat open","No","No Entry","Yes","Yes","Yes","Yes","True","Rarely","Often","25-35","M","United States of America","United States of America","Sometimes"
"100-500","Yes","Yes","I don't know","Yes","Yes","I don't know","Yes","Yes","No","No","I don't know","No","Yes, always","No","Yes, I think it would","Yes, I think they would","Somewhat open","Yes, I experienced","No","No","No","No","No","False","Never","Often","45<","F","United States of America","United States of America","Sometimes"
"More than 1000","Yes","I am not sure","I don't know","Yes","Yes","Somewhat easy","Maybe","No","No","No","I don't know","No","Not Applicable","No","Yes, I think it would","Yes, I think they would","Somewhat open","No","No Entry","No","No","No","No","False","Not applicable to me","Not applicable to me","25-35","F","United States of America","United States of America","Never"
"100-500","Yes","Yes","No","I don't know","I don't know","Somewhat easy","No","No","No","Yes","Yes","No","I don't know","No","Yes, I think it would","Maybe","Somewhat not open","No","No Entry","I don't know","Yes","Yes","Yes","True","Sometimes","Often","25-35","M","United States of America","United States of America","Always"
"100-500","I don't know","No","No","Yes","I don't know","Neither easy nor difficult","Maybe","No","No","Maybe","I don't know","Yes","I don't know","No","Yes, I think it would","Yes, I think they would","Neutral","Yes, I observed","Yes","Yes","No","Maybe","No","False","Sometimes","Sometimes","25-35","M","United States of America","United States of America","Sometimes"
"500-1000","I don't know","No","I don't know","Yes","I don't know","Somewhat easy","No","No","Yes","Yes","Yes","No","Yes, always","Yes","No, it has not","No, they do not","Very open","No","No Entry","I don't know","Yes","Yes","Yes","True","Not applicable to me","Often","36-45","M","United States of America","United States of America","Always"
