B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,WW,YY,ZZ,AAA,BBB,CCC,DDD,EEE,FFF,GGG,HHH,III,JJJ,LLL
500-1000,1.0,I don't know,No,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,No,"Yes, I think it would","Yes, I think they would",Very open,No,No Entry,Yes,Maybe,No,N/A,No,N/A,1,Sometimes,Often,30,M,Sweden,No Entry,Sweden,No Entry,Designer|Front-end Developer|Back-end Developer,Always
26-100,1.0,I don't know,No,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,No,1,Some did,I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"No, I don't think it would","No, I don't think they would",Very open,No,No Entry,No,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder|Substance Use Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Obsessive-Compulsive Disorder",1,Sometimes,Often,30,M,United States of America,Colorado,United States of America,Colorado,DevOps/SysAdmin|Back-end Developer,Always
6-25,1.0,No,No,No,No,I don't know,Somewhat difficult,Yes,No,No,No,I don't know,No,1,Some did,I was aware of some,Some did,Some did,"Yes, always",I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"Yes, I think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Often,44,M,United States of America,Indiana,United States of America,Indiana,Support,Always
100-500,1.0,Yes,I am not sure,No,Yes,I don't know,Somewhat easy,No,No,Maybe,Maybe,No,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Neutral,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,United Kingdom,No Entry,United Kingdom,No Entry,Dev Evangelist/Advocate,Always
500-1000,1.0,No,No,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,Yes,No,1,Some did,I was aware of some,None did,None did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would",Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,28,M,Germany,No Entry,Germany,No Entry,Other,Sometimes
100-500,1.0,Yes,Yes,I don't know,I don't know,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,No,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Neutral,No,No Entry,Yes,Yes,No,N/A,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",1,Rarely,Sometimes,42,M,United States of America,South Dakota,United States of America,South Dakota,Supervisor/Team Lead,Always
1-5,1.0,Yes,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Yes,I don't know,No,1,Some did,I was aware of some,Some did,Some did,Sometimes,"Yes, all of them",None of them,Some of my previous employers,Some of my previous employers,Some did,"Yes, all of them",Maybe,No,"Yes, it has","No, they do not",Somewhat open,"Yes, I experienced",Maybe,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Post-traumatic Stress Disorder|Substance Use Disorder|Addictive Disorder",Yes,"Addictive Disorder|Substance Use Disorder|Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)|Post-traumatic Stress Disorder",1,Rarely,Sometimes,30,F,United Kingdom,No Entry,United Kingdom,No Entry,Supervisor/Team Lead|Back-end Developer|Front-end Developer|Designer,Sometimes
100-500,1.0,I don't know,I am not sure,No,I don't know,I don't know,I don't know,Maybe,Maybe,No,Maybe,No,No,1,"No, none did",N/A (not currently aware),None did,None did,Sometimes,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,"Yes, I think it would","No, I don't think they would",Somewhat not open,No,No Entry,No,Maybe,Maybe,None,No,N/A,1,Often,Often,36,M,Russia,No Entry,Russia,No Entry,Support,Sometimes
500-1000,1.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,Maybe,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Yes,Maybe,"Yes, it has","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,M,Russia,No Entry,Russia,No Entry,Back-end Developer,Sometimes
6-25,1.0,I don't know,No,No,No,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,No,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Not applicable to me (I do not have a mental illness),No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,29,M,United States of America,Nevada,United States of America,Nevada,Back-end Developer,Always
500-1000,1.0,I don't know,No,I don't know,I don't know,I don't know,I don't know,Maybe,Maybe,Maybe,Maybe,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,No,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,M,United States of America,California,United States of America,California,Other,Sometimes
26-100,1.0,No,No Entry,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,Yes,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,Maybe,Maybe,Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,25,M,Belgium,No Entry,Belgium,No Entry,Back-end Developer,Sometimes
500-1000,1.0,I don't know,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,24,M,Russia,No Entry,Russia,No Entry,Other|Back-end Developer|Front-end Developer,Never
More than 1000,1.0,No,No,No,No,No,Somewhat easy,Yes,No,No,No,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,"Yes, it has","No, I don't think they would",Somewhat open,No,No Entry,No,Yes,Yes,"Mood Disorder (Depression, Bipolar Disorder, etc)",No,N/A,1,Rarely,Sometimes,25,M,Russia,No Entry,Russia,No Entry,Back-end Developer,Sometimes
26-100,1.0,Yes,Yes,No,No,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Yes,"No, it has not","No, they do not",Very open,No,No Entry,I don't know,Yes,Yes,Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder|Stress Response Syndromes,Yes,Attention Deficit Hyperactivity Disorder|Obsessive-Compulsive Disorder|Stress Response Syndromes,0,Never,Never,31,M,Denmark,No Entry,Denmark,No Entry,Executive Leadership|Supervisor/Team Lead,Never
26-100,1.0,Yes,No,No,No,I don't know,I don't know,Maybe,No,Maybe,No,Yes,No,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,Maybe,Maybe,Maybe,Somewhat open,Maybe/Not sure,Maybe,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,37,M,Canada,No Entry,Canada,No Entry,Back-end Developer,Sometimes
100-500,1.0,I don't know,No,No,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,No,No,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,"No, I don't think it would",Maybe,Somewhat open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,35,M,United States of America,California,United States of America,California,Back-end Developer,Never
6-25,1.0,Not eligible for coverage / N/A,No Entry,Yes,No,Yes,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,1,"No, none did",I was aware of some,None did,None did,No,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,"Yes, it has","No, I don't think they would",Not open at all,No,No Entry,Yes,Yes,No,N/A,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Stress Response Syndromes",1,Rarely,Often,26,F,Spain,No Entry,Spain,No Entry,Front-end Developer|Back-end Developer,Sometimes
100-500,1.0,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,1,"No, none did","No, I only became aware later",None did,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,Maybe,No,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,31,M,United Kingdom,No Entry,United Kingdom,No Entry,Back-end Developer|DevOps/SysAdmin,Always
500-1000,1.0,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Maybe,Yes,No,1,Some did,I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat not open,No,No Entry,Yes,Maybe,No,N/A,No,N/A,1,Never,Often,29,F,United States of America,California,United States of America,Hawaii,Support|Other,Always
26-100,1.0,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,No,No,I don't know,Yes,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,Yes,No,N/A,Yes,Stress Response Syndromes,0,Not applicable to me,Not applicable to me,33,M,France,No Entry,France,No Entry,Back-end Developer,Sometimes
26-100,1.0,No,I am not sure,No,No,No,Somewhat easy,Maybe,No,Maybe,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat not open,No,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,30,M,India,No Entry,India,No Entry,Supervisor/Team Lead,Always
26-100,1.0,Yes,Yes,No,No,I don't know,Neither easy nor difficult,Maybe,No,Yes,Yes,No,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Yes,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,I don't know,Yes,Maybe,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Personality Disorder (Borderline, Antisocial, Paranoid, etc)",No,N/A,0,Often,Sometimes,30,M,United States of America,Florida,United States of America,Florida,Back-end Developer,Sometimes
100-500,1.0,Yes,Yes,No,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,I don't know,Yes,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)|Post-traumatic Stress Disorder",1,Sometimes,Sometimes,29,F,United States of America,California,United States of America,California,Other,Never
26-100,1.0,I don't know,No,No,Yes,No,Somewhat difficult,Maybe,Maybe,No,No,No,No,0,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,"Yes, I think it would","Yes, I think they would",Not open at all,Maybe/Not sure,No,I don't know,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Often,25,F,United States of America,California,United States of America,California,HR,Sometimes
More than 1000,0.0,Yes,Yes,Yes,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Yes,Yes,Maybe,Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,No,N/A,No,N/A,1,Not applicable to me,Not applicable to me,27,M,United States of America,Nebraska,United States of America,Nebraska,Back-end Developer,Never
500-1000,1.0,Yes,I am not sure,No,No,Yes,Very easy,No,No,No,No,Yes,No,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,"No, at none of my previous employers",Some did,None of them,Yes,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat not open,No Entry,No Entry,No,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,26,M,Germany,No Entry,Germany,No Entry,Executive Leadership,Sometimes
500-1000,1.0,Yes,Yes,I don't know,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,1,Some did,"Yes, I was aware of all of them",Some did,Some did,"Yes, always",I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,"No, I don't think they would",Very open,No,No Entry,Yes,No,No,N/A,No,N/A,0,Not applicable to me,Not applicable to me,38,F,United States of America,Maine,United States of America,Maine,Other,Always
More than 1000,1.0,Yes,Yes,Yes,Yes,No,Very difficult,Yes,No,Maybe,No,No,No,1,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,No,Yes,Yes,Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",Yes,"Anxiety Disorder (Generalized, Social, Phobia, etc)|Mood Disorder (Depression, Bipolar Disorder, etc)",1,Never,Sometimes,49,M,United States of America,Missouri,United States of America,Missouri,Other,Sometimes
