B,C,E,F,G,H,I,J,K,L,M,N,O,P,Y,Z,AA,BB,CC,DD,EE,FF,GG,HH,II,JJ,KK,MM,OO,PP,QQ,RR,SS,TT,UU,VV,YY,AAA,BBB,CCC,DDD,EEE,FFF,HHH,LLL
More than 1000,True,I don't know,I am not sure,No,I don't know,I don't know,Somewhat difficult,Yes,Yes,Maybe,No,No,No,True,"No, none did",N/A (not currently aware),None did,Some did,I don't know,"Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,True,Rarely,Often,Early Career,F,United States of America,United States of America,Sometimes
100-500,True,Yes,Yes,No,I don't know,I don't know,Very easy,No,No,Yes,Yes,I don't know,No,True,"Yes, they all did",I was aware of some,None did,"Yes, they all did",I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,No,"No, it has not",Maybe,Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,Yes,Yes,I don't know,Yes,Yes,I don't know,Yes,Yes,No,No,I don't know,No,True,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did","Yes, always","Yes, all of them","Yes, all of them","No, at none of my previous employers","No, at none of my previous employers",I don't know,Some of them,No,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No,No,No,No,No,False,Never,Often,Late Career,F,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,I don't know,Yes,Yes,Somewhat easy,Maybe,No,No,No,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,United States of America,United States of America,Never
100-500,True,Yes,Yes,No,I don't know,I don't know,Somewhat easy,No,No,No,Yes,Yes,No,True,"Yes, they all did",I was aware of some,I don't know,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No Entry,I don't know,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,United States of America,United States of America,Always
100-500,True,I don't know,No,No,Yes,I don't know,Neither easy nor difficult,Maybe,No,No,Maybe,I don't know,Yes,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,None of them,No,No,"Yes, I think it would","Yes, I think they would",Neutral,"Yes, I observed",Yes,Yes,No,Maybe,No,False,Sometimes,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
500-1000,True,I don't know,No,I don't know,Yes,I don't know,Somewhat easy,No,No,Yes,Yes,Yes,No,True,Some did,I was aware of some,Some did,Some did,"Yes, always",Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,Yes,"No, it has not","No, they do not",Very open,No,No Entry,I don't know,Yes,Yes,Yes,True,Not applicable to me,Often,Upper Mid Career,M,United States of America,United States of America,Always
6-25,True,No,No Entry,No,No,I don't know,Somewhat easy,No,No,No,Maybe,Yes,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Maybe,I don't know,Maybe,Maybe,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,F,United Kingdom,United Kingdom,Sometimes
26-100,True,I don't know,No,Yes,I don't know,Yes,Somewhat easy,Maybe,Maybe,Maybe,No,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Yes,No,Maybe,"Yes, I think they would",Somewhat not open,No,No Entry,No,No,No,No,True,Not applicable to me,Not applicable to me,Early Career,M,Netherlands,Netherlands,Never
500-1000,True,I don't know,I am not sure,Yes,Yes,I don't know,Somewhat easy,No,Maybe,Maybe,Maybe,Yes,No,True,Some did,I was aware of some,Some did,Some did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,No,True,Never,Rarely,Lower Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,Yes,I am not sure,No,I don't know,Yes,Somewhat easy,Maybe,No,Maybe,Maybe,I don't know,No,True,Some did,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,"No, at none of my previous employers",Some did,Some of them,Yes,Maybe,"Yes, I think it would","No, I don't think they would",Somewhat not open,Maybe/Not sure,Maybe,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Never
6-25,True,Yes,Yes,No,No,Yes,Very easy,Maybe,No,No,Yes,Yes,No,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,"Yes, I think it would","No, I don't think they would",Somewhat open,"Yes, I experienced",No,No,Maybe,Maybe,Yes,True,Rarely,Often,Lower Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,No,No,No,No,I don't know,Somewhat easy,Maybe,Maybe,Yes,Yes,I don't know,No,True,"No, none did",I was aware of some,None did,None did,I don't know,"Yes, all of them","Yes, all of them",Some of my previous employers,"No, at none of my previous employers",None did,"Yes, all of them",Maybe,Maybe,"Yes, it has",Maybe,Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Yes,Yes,True,Sometimes,Sometimes,Upper Mid Career,M,United Kingdom,United Kingdom,Always
26-100,True,I don't know,No,Yes,No,I don't know,Very easy,Yes,Maybe,Maybe,Maybe,Yes,No,True,"No, none did","No, I only became aware later",None did,None did,No,None of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,No,No Entry,Yes,Yes,Yes,Yes,True,Never,Often,Lower Mid Career,M,United States of America,United States of America,Always
26-100,False,No,I am not sure,No,No,I don't know,Very easy,Maybe,No,Maybe,Maybe,I don't know,No,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,Maybe,No,"Yes, it has",Maybe,Very open,No,No Entry,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,Colombia,Colombia,Always
100-500,True,Yes,Yes,No,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,No,No,True,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,Some of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,No,No,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No Entry,Yes,Yes,Yes,Yes,True,Rarely,Often,Upper Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,Yes,No,No,No,I don't know,I don't know,Maybe,No,No,No,I don't know,No,True,Some did,I was aware of some,None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,Some of them,No,No,"Yes, I think it would",Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",No Entry,Yes,Yes,No,Yes,True,Not applicable to me,Not applicable to me,Upper Mid Career,M,United States of America,United States of America,Always
26-100,True,Yes,Yes,No,No,I don't know,Somewhat easy,No,No,Yes,Maybe,I don't know,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No,No,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,Yes,Yes,True,Never,Often,Early Career,M,United States of America,United States of America,Sometimes
100-500,True,I don't know,No,No,I don't know,I don't know,Somewhat difficult,Maybe,Maybe,No,Maybe,I don't know,No,True,I don't know,N/A (not currently aware),Some did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",I don't know,None of them,Maybe,No,Maybe,Maybe,Neutral,No,No Entry,I don't know,Yes,Yes,No,False,Never,Rarely,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,I am not sure,Yes,I don't know,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,No,True,"Yes, they all did",I was aware of some,Some did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I observed",Maybe,Yes,Yes,Maybe,Yes,True,Rarely,Sometimes,Upper Mid Career,M,United States of America,United States of America,Never
26-100,True,I don't know,I am not sure,No,No,I don't know,Neither easy nor difficult,No,No,Maybe,Maybe,No,Yes,True,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,"No, at none of my previous employers",None did,Some of them,Maybe,No,Maybe,Maybe,Neutral,Maybe/Not sure,Yes,Yes,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,F,United Kingdom,United Kingdom,Never
26-100,True,Yes,I am not sure,Yes,I don't know,Yes,Very easy,No,No,Yes,Yes,Yes,No,True,I don't know,N/A (not currently aware),Some did,None did,I don't know,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Yes,Maybe,"No, I don't think it would",Maybe,Very open,No,No Entry,No,Yes,No,No,True,Never,Sometimes,Lower Mid Career,M,Netherlands,Netherlands,Never
6-25,False,Yes,I am not sure,No,Yes,No,Neither easy nor difficult,No,No,Yes,Yes,Yes,No,False,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Maybe,Maybe,"No, I don't think it would","No, I don't think they would",Somewhat open,No,No Entry,I don't know,Yes,Yes,Yes,True,Rarely,Sometimes,Lower Mid Career,M,Netherlands,Netherlands,Never
26-100,True,No,No,Yes,No,I don't know,Very difficult,No,No,Yes,Yes,Yes,No,True,Some did,"No, I only became aware later",None did,None did,"Yes, always",Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,"Yes, all of them",Yes,No,"Yes, I think it would","No, I don't think they would",Somewhat open,No,No Entry,No,Yes,Yes,Yes,True,Sometimes,Sometimes,Lower Mid Career,F,Germany,Germany,Always
26-100,True,Not eligible for coverage / N/A,No,No,No,I don't know,I don't know,No,No,Maybe,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Maybe,Maybe,Very open,No,No Entry,Yes,Yes,Maybe,No,True,Not applicable to me,Sometimes,Lower Mid Career,M,Colombia,Colombia,Always
26-100,True,Yes,Yes,Yes,Yes,I don't know,I don't know,Maybe,Maybe,Yes,Maybe,I don't know,No,True,Some did,"No, I only became aware later",None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,Some of them,Maybe,Maybe,"Yes, I think it would","Yes, I think they would",Somewhat open,"Yes, I experienced",No Entry,Yes,Yes,Yes,Yes,True,Sometimes,Often,Lower Mid Career,M,Germany,Germany,Never
100-500,True,Yes,I am not sure,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,"Yes, I think it would",Maybe,Somewhat not open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Early Career,F,United States of America,United States of America,Never
100-500,True,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Yes,Yes,Yes,No,True,Some did,I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Yes,"No, I don't think it would","No, I don't think they would",Not applicable to me (I do not have a mental illness),No,No Entry,Yes,Yes,No,Yes,True,Rarely,Sometimes,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,False,Yes,No,I don't know,Yes,I don't know,Somewhat difficult,Maybe,Maybe,No,No,No,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Maybe,Maybe,Somewhat not open,"Yes, I observed",Yes,Yes,Yes,Yes,Yes,False,Not applicable to me,Sometimes,Upper Mid Career,M,United States of America,United States of America,Sometimes
100-500,True,I don't know,I am not sure,No,I don't know,I don't know,Very difficult,Maybe,Maybe,No,No,I don't know,No,True,Some did,I was aware of some,Some did,Some did,I don't know,"Yes, all of them",Some of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,Some of them,No,No,"Yes, I think it would",Maybe,Not open at all,"Yes, I observed",Yes,I don't know,Maybe,Maybe,Yes,True,Sometimes,Sometimes,Late Career,M,United States of America,United States of America,Sometimes
26-100,True,I don't know,I am not sure,No,I don't know,I don't know,I don't know,No,No,Yes,Yes,I don't know,No,True,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,"Yes, at all of my previous employers",I don't know,None of them,Maybe,Maybe,Maybe,"No, I don't think they would",Somewhat open,No,No Entry,No,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
More than 1000,True,Yes,Yes,Yes,Yes,Yes,I don't know,Maybe,No,No,No,I don't know,No,True,"Yes, they all did","Yes, I was aware of all of them",None did,None did,"Yes, always",I don't know,Some of them,"No, at none of my previous employers",I don't know,I don't know,Some of them,Yes,No,"Yes, I think it would",Maybe,Neutral,Maybe/Not sure,No,I don't know,No,No,No,False,Not applicable to me,Not applicable to me,Lower Mid Career,M,United States of America,United States of America,Sometimes
